,Symbol,Name
0,A,"Agilent Technologies, Inc. Common Stock"
1,AA,Alcoa Inc. Common Stock
2,AA$B,Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1
3,AAC,"AAC Holdings, Inc. Common Stock"
4,AAN,"Aaron's, Inc. Common Stock"
5,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I
6,AAT,"American Assets Trust, Inc. Common Stock"
7,AAV,Advantage Oil & Gas Ltd  Ordinary Shares
8,AB,Allianceberstein Holding L.P.  Units
9,ABB,ABB Ltd Common Stock
10,ABBV,AbbVie Inc. Common Stock
11,ABC,AmerisourceBergen Corporation (Holding Co) Common Stock
12,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
13,ABG,Asbury Automotive Group Inc Common Stock
14,ABM,ABM Industries Incorporated Common Stock
15,ABR,Arbor Realty Trust Common Stock
16,ABR$A,Arbor Realty Trust Preferred Series A
17,ABR$B,Arbor Realty Trust Cumulative Redeemable Preferred Series B
18,ABR$C,Arbor Realty Trust Cumulative Redeemable Preferred Series C
19,ABRN,Arbor Realty Trust 7.375% Senior Notes due 2021
20,ABT,Abbott Laboratories Common Stock
21,ABX,Barrick Gold Corporation Common Stock
22,ACC,American Campus Communities Inc Common Stock
23,ACCO,Acco Brands Corporation Common Stock
24,ACE,Ace Limited Common Stock
25,ACG,Alliancebernstein Income Fund
26,ACH,Aluminum Corporation of China Limited American Depositary Shares
27,ACI,"Arch Coal, Inc. Common Stock"
28,ACM,AECOM Common Stock
29,ACMP,"Access Midstream Partners, L.P. Common Units Representing Limited Partner Interests"
30,ACN,Accenture plc. Class A Ordinary Shares (Ireland)
31,ACP,Avenue Income Credit Strategies Fund Common Shares
32,ACRE,Ares Commercial Real Estate Corporation Common Stock
33,ACT,Actavis plc Ordinary Shares
34,ACW,Accuride Corporation Common Stock
35,ADC,Agree Realty Corporation Common Stock
36,ADM,Archer
37,ADPT,Adeptus Health Inc. Common Stock
38,ADS,Alliance Data Systems Corporation Common Stock
39,ADT,ADT Corporation Common Stock
40,ADX,Adams Express Company (The)
41,AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
42,AEC,Associated Estates Realty Corporation Common Stock
43,AED,AEGON N.V. Perp. Cap. Securities (Netherlands)
44,AEE,Ameren Corporation Common Stock
45,AEG,AEGON N.V. Common Stock
46,AEH,AEGON N.V. Perp. Cap Secs.
47,AEK,Aegon NV 8.00% Non
48,AEL,American Equity Investment Life Holding Company Common Stock
49,AEM,Agnico Eagle Mines Limited Common Stock
50,AEO,"American Eagle Outfitters, Inc. Common Stock"
51,AEP,"American Electric Power Company, Inc. Common Stock"
52,AER,Aercap Holdings N.V. Ordinary Shares
53,AES,The AES Corporation Common Stock
54,AES$C,AES Corporation (The) Class C Preferred Stock
55,AET,Aetna Inc. Common Stock
56,AF,Astoria Financial Corporation Common Stock
57,AF$C,Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%
58,AFA,"American Financial Group, Inc. 5.75% Senior Notes due 2042"
59,AFB,AllianceBernstein National Municipal Income Fund Inc
60,AFC,"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047"
61,AFG,"American Financial Group, Inc. Common Stock"
62,AFGE,"American Financial Group, Inc. 6.25% Subordinated Debentures due 2054"
63,AFL,AFLAC Incorporated Common Stock
64,AFM,"Affiliated Managers Group, Inc. 5.250% Senior Notes due 2022"
65,AFQ,"American Financial Group, Inc. 7% Senior Notes due 2050"
66,AFSD,"Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052"
67,AFSI$A,"AmTrust Financial Services, Inc. Preferred Series A"
68,AFSI$B,"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B"
69,AFSI$C,"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C"
70,AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
71,AFW,"American Financial Group, Inc. 6 3/8% Senior Notes due 2042"
72,AG,First Majestic Silver Corp. Ordinary Shares (Canada)
73,AGC,Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest
74,AGCO,AGCO Corporation Common Stock
75,AGD,Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest
76,AGI,Alamos Gold Inc Ordinary Shares
77,AGM,Federal Agricultural Mortgage Corporation Common Stock
78,AGM$A,Federal Agricultural Mortgage Corporation 5.875% Non
79,AGM$B,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B
80,AGM$C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg
81,AGM.A,Federal Agricultural Mortgage Corporation Common Stock
82,AGN,"Allergan, Inc. Common Stock"
83,AGO,Assured Guaranty Ltd. Common Stock
84,AGO$B,Assured Guaranty Ltd.
85,AGO$E,Assured Guaranty Ltd.
86,AGO$F,Assured Guaranty Ltd.
87,AGRO,Adecoagro S.A. Common Shares
88,AGU,Agrium Inc. Common Stock
89,AGX,"Argan, Inc. Common Stock"
90,AHC,A.H. Belo Corporation Common Stock
91,AHH,"Armada Hoffler Properties, Inc. Common Stock"
92,AHL,Aspen Insurance Holdings Limited Ordinary Shares
93,AHL$A,Aspen Insurance Holdings Limited Perp Pfd Shares (Bermuda)
94,AHL$B,Aspen Insurance Holdings Limited Perp Pref Shs (Bermuda)
95,AHL$C,Aspen Insurance Holdings Limited 5.95% Fixed
96,AHP,"Ashford Hospitality Prime, Inc. Common Stock"
97,AHS,AMN Healthcare Services Inc AMN Healthcare Services Inc
98,AHT,Ashford Hospitality Trust Inc Common Stock
99,AHT$A,Ashford Hospitality Trust Inc 8.55% Cum Preferred Series A
100,AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock
101,AHT$E,Ashford Hospitality Trust Inc 9.00% Series E Cumulative Preferred Stock
102,AI,Arlington Asset Investment Corp Class A (new)
103,AIB,Apollo Investment Corporation 6.625% Senior Notes due 2042
104,AIF,Apollo Tactical Income Fund Inc. Common Stock
105,AIG,"American International Group, Inc. New Common Stock"
106,AIG.W,"American International Group, Inc. Warrant expiring January 19, 2021"
107,AIN,Albany International Corporation Common Stock
108,AIR,AAR Corp. Common Stock
109,AIT,"Applied Industrial Technologies, Inc. Common Stock"
110,AIV,Apartment Investment and Management Company Common Stock
111,AIV$A,Apartment Investment and Management Company Preferred Series Class A
112,AIV$Z,Apartment Investment and Management Company Class Z Cumulative Preferred Stock
113,AIW,Arlington Asset Investment Corp 6.625% Notes due 2023
114,AIY,Apollo Investment Corporation 6.875% Senior Notes due 2043
115,AIZ,"Assurant, Inc. Common Stock"
116,AJG,Arthur J. Gallagher & Co. Common Stock
117,AKO.A,Embotelladora Andina S.A. Common Stock
118,AKO.B,Embotelladora Andina S.A. Common Stock
119,AKP,Alliance California Municipal Income Fund Inc
120,AKR,Acadia Realty Trust Common Stock
121,AKS,AK Steel Holding Corporation Common Stock
122,AL,Air Lease Corporation Class A Common Stock
123,ALB,Albemarle Corporation Common Stock
124,ALDW,"Alon USA Partners, LP Common Units representing Limited Partner Interests"
125,ALE,"Allete, Inc."
126,ALEX,"Alexander & Baldwin, Inc. Common Stock"
127,ALG,"Alamo Group, Inc. Common Stock"
128,ALJ,"Alon USA Energy, Inc. common stick"
129,ALK,"Alaska Air Group, Inc. Common Stock"
130,ALL,Allstate Corporation (The) Common Stock
131,ALL$A,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A
132,ALL$B,Allstate Corporation (The) 5.100% Fixed
133,ALL$C,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C
134,ALL$D,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D
135,ALL$E,Allstate Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E
136,ALL$F,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd
137,ALLE,Allegion plc Ordinary Shares
138,ALLY,Ally Financial Inc. Common Stock
139,ALLY$A,"GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities, Series 2"
140,ALLY$B,"Ally Financial Inc Fixed Rate Floating Rate Perpetual Preferred Stock, Series A"
141,ALP$N,Alabama Power Company Preferred Stock
142,ALP$O,Alabama Power Company Preferred Stock
143,ALP$P,Alabama Power Company 5.30% Cl A Pfd Stk
144,ALR,Alere Inc. Common Stock
145,ALR$B,"Alere Inc. Inverness Medical Innovations, Inc. Series B Convertible Perpetual Preferred Stock"
146,ALSN,"Allison Transmission Holdings, Inc. Common Stock"
147,ALU,Alcatel
148,ALV,"Autoliv, Inc. Common Stock"
149,ALX,"Alexander's, Inc. Common Stock"
150,AM,Antero Midstream Partners LP Common Units representing limited partner interests
151,AMBR,"Amber Road, Inc. Common Stock"
152,AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock"
153,AME,"AMETEK, Inc."
154,AMFW,AMEC Foster Wheeler plc American Depositary Shares
155,AMG,"Affiliated Managers Group, Inc. Common Stock"
156,AMH,American Homes 4 Rent Common Shares of Beneficial Interest
157,AMH$A,American Homes 4 Rent Participating Preferred Shares Series A
158,AMH$B,American Homes 4 Rent 5% Series B Participating Preferred Shares of Beneficial Interest
159,AMH$C,American Homes 4 Rent Participating Pfd Ser C
160,AMID,"American Midstream Partners, LP Common Units representing Limited Partner Interests"
161,AMP,"Ameriprise Financial, Inc. Common Stock"
162,AMRC,"Ameresco, Inc. Class A Common Stock"
163,AMRE,"AmREIT, Inc. Common stock"
164,AMT,American Tower Corporation (REIT) Common Stock
165,AMT$A,American Tower Corporation (REIT) Pfd Conv Ser A
166,AMTD,TD Ameritrade Holding Corporation Common Stock
167,AMTG,"Apollo Residential Mortgage, Inc. Common Stock"
168,AMTG$A,"Apollo Residential Mortgage, Inc. Pfd Shs Series A  (US)"
169,AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L"
170,AN,"AutoNation, Inc. Common Stock"
171,ANET,"Arista Networks, Inc. Common Stock"
172,ANF,Abercrombie & Fitch Company Common Stock
173,ANFI,Amira Nature Foods Ltd Ordinary Shares
174,ANH,Anworth Mortgage Asset Corporation Common Stock
175,ANH$A,Anworth Mortgage Asset Corporation Series A Preferred Stock
176,ANH$B,Anworth Mortgage Asset  Corporation Preferred Stock Series B 6.25%
177,ANN,ANN INC. Common Stock
178,ANR,"Alpha Natural Resources, inc. comm stock"
179,ANTM,"Anthem, Inc. Common Stock"
180,ANW,Aegean Marine Petroleum Network Inc. Common Stock
181,AOD,Alpine Total Dynamic Dividend Fund Common Stock
182,AOI,"Alliance One International, Inc. Common Stock"
183,AOL,AOL Inc. AOL Inc. Common Stock
184,AON,Aon plc Class A Ordinary Shares (UK)
185,AOS,A.O. Smith Corporation Common Stock
186,AP,Ampco
187,APA,Apache Corporation Common Stock
