ISIN,Symbol,Name,Sector,Subsector,Country,Instrument Exchange
DE000A11QW68,HRPK,7C SOLARPARKEN AG  O.N.,Industrial,Renewable Energies,Germany,XETRA + FRANKFURT 
DE0007228009,AAA,A.A.A. AG ALLGEMEINE ANLAGEVERWALTUNG,Financial Services,Real Estate,Germany,FRANKFURT
DE0006492903,LUM,A.I.S. AG,Industrial,Renewable Energies,Germany,FRANKFURT
DE0005066609,AAQ,AAP IMPLANTATE AG,Pharma & Healthcare,Medical Technology,Germany,XETRA + FRANKFURT 
DE000A0Z23Q5,ADN1,ADESSO SE  INH O.N.,Software,IT-Services,Germany,XETRA + FRANKFURT 
GB00B128C026,AB1,"AIR BERLIN PLC    EO -,25",Transportation & Logistics,Airlines,Great Britain,FRANKFURT
DE0006209901,ABA,ALBA SE O.N.,Industrial,Industrial Products & Services,Germany,FRANKFURT
DE0006569403,ALG,ALBIS LEASING AG O.N.,Financial Services,Diversified Financial,Germany,XETRA + FRANKFURT 
DE000A2GS633,AEIN,ALLGEIER SE  NA O.N.,Software,IT-Services,Germany,XETRA + FRANKFURT 
DE000A2LQUJ6,AMA1,ALTECH ADVANCED MATERIALS NA O.N.,Basic Resources,Forest & Paper Products,Germany,FRANKFURT
DE0006757008,NSU,AUDI AG O.N.,Automobile,Automobile Manufacturers,Germany,XETRA + FRANKFURT 
DE0001262152,DTD2,B+S BANKSYSTEME AG O.N.,Software,Internet,Germany,XETRA + FRANKFURT 
DE0005196232,BKS3,BBS KRAFTFAHRZEUGTECHNIK VZO O.N,Automobile,Auto Parts & Equipment,Germany,FRANKFURT
DE0005201602,BEZ,BERENTZEN-GRUPPE AG,Food & Beverages,Beverages,Germany,XETRA + FRANKFURT 
DE0006102007,HUL,BHS TABLETOP AG O.N.,Consumer,Household Appliances & Housewares,Germany,FRANKFURT
DE0005229504,BIJ,BIJOU BRIGITTE O.N.,Retail ,"Retail, Specialty",Germany,XETRA + FRANKFURT 
DE0005239701,BSY,BOEWE SYSTEC AG O.N.,Industrial,Industrial Machinery,Germany,FRANKFURT
PLCIECH00018,CHX,CIECH S.A.           ZY 5,Chemicals,"Chemicals, Specialty",Polen,FRANKFURT
DE000A1K0227,CNWK,CO.DON AG   INH. O.N.,Pharma & Healthcare,Biotechnology,Germany,XETRA + FRANKFURT 
LU0251710041,O5G,"CPI PROPERTY GRP   EO-,10",Financial Services,Real Estate,Luxembourg,XETRA + FRANKFURT 
DE000A1YDDM9,333,DECHENG TECHNOLOGY AG,Chemicals,"Chemicals, Specialty",Germany,FRANKFURT
DE000A2AA204,DFTK,DF DEUTSCHE FORFAIT AG  NA O.N.,Financial Services,Diversified Financial,Germany,XETRA + FRANKFURT 
DE0005580005,DIE,DIERIG HOLDING AG O.N.,Consumer,Clothing & Footwear ,Germany,XETRA + FRANKFURT 
DE000A0BVVK7,HEMP,DEUTSCHE CANNABIS AG   O.N.,Financial Services,Private Equity & Venture Capital,Germany,XETRA + FRANKFURT 
DE0008055021,DRE2,DEUTSCHE REAL ESTATE AG O.N.,Financial Services,Real Estate,Germany,FRANKFURT
DE000A2YN991,ESY,EASY SOFTWARE AG  NA O.N.,Software,IT-Services,Germany,XETRA + FRANKFURT 
DE0005658009,EIS,EISEN- UND HUETTENWERKE,Basic Resources,Steel & Other Metals,Germany,FRANKFURT
DE000A0WMJQ4,ELN,ELANIX BIOTECHNOLOGIES AG,Pharma & Healthcare,Biotechnology,Germany,FRANKFURT
LU0538936351,EWI,ELECTRAWINDS SE A,Industrial ,Renewable Energies ,Luxembourg,FRANKFURT
DE0005220008,EBK,ENBW ENERGIE BADEN-WUERTTEMBERG ON,Utilities,Electricity,Germany,XETRA + FRANKFURT 
DE0005313506,EKT,ENERGIEKONTOR O.N.,Industrial,Renewable Energies,Germany,XETRA + FRANKFURT 
DE0007551400,USE,EROTIK-ABWICKLUNGSGESELLSCHAFT INH EO 1,Retail,"Retail, Catalog",Germany,FRANKFURT
DE000A1X3WX6,ERWE,ERWE IMMOBILIEN AG INH O.N.,Financial Services,Real Estate,Germany,XETRA + FRANKFURT 
DE000A1K0300,EUCA,EUROMICRON AG NA O.N.,Technology,Communications Technology,Germany,XETRA + FRANKFURT 
DE000A0V9L94,BNT1,EYEMAXX REAL ESTATE AG,Financial Services ,Real Estate,Germany,XETRA + FRANKFURT 
DE000A0MW975,FVI,FAIR VALUE REIT-AG INH.ON,Financial Services,Real Estate,Germany,FRANKFURT
DE000A13SX89,FGT,FENGHUA SOLETECH AG,Consumer,Clothing & Footwear,Germany,FRANKFURT
DE0005775803,FRS,FORIS AG,Financial Services,Diversified Financial,Germany,XETRA + FRANKFURT 
ATFREQUENT09,FQT,FREQUENTIS AG,Technology,Communications Technology,Austria,XETRA + FRANKFURT 
DE0005070908,FNG,FRITZ NOLS AG O.N.,Financial Services,Securities Brokers,Germany,FRANKFURT
DE0006201106,CEA,FRIWO AG O.N.,Industrial,"Industrial, Diversified",Germany,XETRA + FRANKFURT 
DE0005790307,FRO,FROEHLICH BAU AG I.A.,Construction,Construction & Engineering,Germany,FRANKFURT
DE0005790331,FRO3,FROEHLICH BAU AG VZO I.A.,Construction,Construction & Engineering,Germany,FRANKFURT
DE0007760001,WWG,GELSENWASSER AG,Utilities,Multi-Utilities,Germany,FRANKFURT
DE000A255G36,GWI2,GERRY WEBER INTERNATIONAL O.N.,Consumer,Clothing & Footwear,Germany,XETRA + FRANKFURT 
DE000GSW1111,GIB,GSW IMMOBILIEN AG,Financial Services,Real Estate,Germany,FRANKFURT
DE000A0KF6M8,H9Y,HANSEYACHTS O.N.,Industrial,Heavy Machinery,Germany,XETRA + FRANKFURT 
DE000A254294,IPOK,HEIDELBERGER BETEILIGUNGSHOLDING  O.N.,Financial Services,Private Equity & Venture Capital,Germany,FRANKFURT
DE000HNC2059,RTML,HESSE NEWMAN CAPITAL O.N.,Financial Services,Diversified Financial,Germany,FRANKFURT
DE0006131204,IFA,IFA HOTEL UND TOURISTIK O.N.,Consumer,Leisure ,Germany,FRANKFURT
DE0006097108,IFS,INFAS HOLDING AG  O.N.,Industrial ,Industrial Products & Services,Germany,FRANKFURT
DE0006223605,ITN,INTERTAINMENT AG INH O.N.,Media,Movies & Entertainment,Germany,XETRA + FRANKFURT 
CH0451424300,IQL,"IQ INTERNATIONAL AG         SF-,01",Automobile,Auto Parts & Equipment,Switzerland,XETRA + FRANKFURT 
DE000A0JL461,I7N,ITN NANOVATION,Industrial,Advanced Industrial Equipment,Germany,XETRA + FRANKFURT 
NL0000233195,LCY,"JUBII EUROPE N.V.B EO-,01",Software,Internet,Netherlands,FRANKFURT
DE000A1X3WW8,HETA,KHD HUMBOLDT WEDAG VV NA O.N.,Basic Resources,Forest & Paper Products,Germany,FRANKFURT
DE0006578008,KWG,KHD HUMBOLDT WEDAG O.N.,Construction,Building Materials,Germany,XETRA + FRANKFURT 
DE0007857476,KA8,KLASSIK RADIO AG NA O.N.,Media,Broadcasting ,Germany,XETRA + FRANKFURT 
DE000A0KFUJ5,K1R,KROMI LOGISTIK  INH. O.N.,Industrial,Industrial Products & Services,Germany,XETRA + FRANKFURT 
DE0006292006,KSB,KSB SE+CO.KGAA  ST O.N.,Industrial,Industrial Machinery ,Germany,XETRA + FRANKFURT 
DE0006292030,KSB3,KSB SE+CO.KGAA VZO O.N.,Industrial,Industrial Machinery ,Germany,XETRA + FRANKFURT 
DE000LTT2470,LO24,LOTTO24 AG NA O.N.,Retail,"Retail, Internet",Germany,XETRA + FRANKFURT 
DE0005754402,LSX,LS TELCOM AG,Telecommunication,Telecommunication Services ,Germany,XETRA + FRANKFURT 
DE0006617400,MUS,M+S ELEKTRONIK AG,Technology,Electronic Components & Hardware,Germany,FRANKFURT
DE000A1MMCY2,MPRK,MAIER + PARTNER O.N.,Financial Services,Private Equity & Venture Capital,Germany,XETRA + FRANKFURT 
DE0006553464,MNV6,MAINOVA AG O.N.,Utilities,Multi-Utilities,Germany,FRANKFURT
DE0005937007,MAN,MAN SE ST O.N.,Industrial,"Industrial, Diversified",Germany,XETRA + FRANKFURT 
DE0005937031,MAN3,MAN SE VZO O.N.,Industrial,"Industrial, Diversified",Germany,XETRA + FRANKFURT 
CH0132106482,KCC,MARS ONE VENTURES IL INH.SF-20,Financial Services,Diversified Financial,Switzerland,FRANKFURT
DE000A2N4944,MFL2,MARUDAI FOOD DZ/1 O.N.,Food & Beverages,Food,Germany,FRANKFURT
DE0006052830,MBH3,MASCHINENFABRIK BERTHOLD HERMLE O.N. VZO,Industrial,Industrial Machinery ,Germany,FRANKFURT
DE0006044001,MAK,MATERNUS-KLINIKEN AG O.N.,Pharma & Healthcare,Health Care ,Germany,XETRA + FRANKFURT 
DE0006605009,MDN,MEDION AG O.N.,Industrial,Industrial Products & Services,Germany,XETRA + FRANKFURT 
DE000A0LBFE4,M3V,MEVIS MEDICAL SOLUTIONS NA O.N.,Software,Software,Germany,XETRA + FRANKFURT 
DE000A2LQ728,ML2,MING LE SPORTS AG,Consumer,Clothing & Footwear,Germany,FRANKFURT
DE000A2LQ900,MGNK,MOLOGEN AG  INH O.N.,Pharma & Healthcare,Biotechnology,Germany,XETRA + FRANKFURT 
DE0005855183,MSAG,MS INDUSTRIE AG,Financial Services,Diversified Financial,Germany,XETRA + FRANKFURT 
